treatment,control,metric,n,mean_diff,t_p,wilcoxon_p,perm_p,cohen_d,cliffs_delta,n_samples,n_seeds,seed_std_diff,t_p_holm,wilcoxon_p_holm,perm_p_holm,subset
AIPA (full),Sequential (GRU),NDCG@10,22360,0.01630496494747141,2.0368302005539344e-46,7.092932697427353e-20,0.0004997501249375312,0.0958850295574817,0.03215153481331667,4472,5,0.002469840096780046,2.240513220609328e-45,7.802225967170088e-19,0.006496751624187906,natural
AIPA (full),AIPA (rule policy),Hit@10,1655,0.006042296072507553,0.4205100078113939,0.652688154643711,0.49375312343828087,0.01980590127903893,0.006042296072507558,331,5,0.017090194107227733,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),AIPA w/o clarification,Hit@10,1655,0.0030211480362537764,0.654857441552938,0.8191629919252403,0.7446276861569215,0.010990336639210157,0.003021148036253779,331,5,0.01364542572886552,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),AIPA w/o counterfactual,Hit@10,1655,-0.0030211480362537764,0.7023169584291263,0.8235684181650939,0.7746126936531734,-0.0093963868143233,-0.003021148036253779,331,5,0.013778554986092302,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),AIPA w/o persistence,Hit@10,1655,0.005438066465256798,0.029006060576833997,0.661504086046897,0.04697651174412794,0.05371726179537962,0.005438066465256797,331,5,0.004833836858006042,0.23204848461467198,1.0,0.3758120939530235,conflict_natural_strict
AIPA (full),AIPA w/o relationship,Hit@10,1655,-0.0030211480362537764,0.7023169584291263,0.8235684181650939,0.7541229385307346,-0.009396386814323298,-0.003021148036253779,331,5,0.019391911221608715,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),Adaptive fusion,Hit@10,1655,-0.012084592145015106,0.14257120412909746,0.3763181436375098,0.17991004497751126,-0.03605999205339622,-0.012084592145015088,331,5,0.015871813337237094,0.9979984289036823,1.0,1.0,conflict_natural_strict
AIPA (full),Conversation-aware,Hit@10,1655,-0.012084592145015106,0.1696359123117149,0.38286807018709657,0.1874062968515742,-0.03377376839833206,-0.012084592145015088,331,5,0.017616168866602114,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),KBRD-style,Hit@10,1655,-0.02175226586102719,0.016112100223948888,0.11854729678924308,0.021989005497251374,-0.0592118596584801,-0.0217522658610272,331,5,0.006994463385371737,0.1611210022394889,1.0,0.21989005497251374,conflict_natural_strict
AIPA (full),LTP-only,Hit@10,1655,0.1148036253776435,7.699564101184056e-36,3.3065952482480737e-16,0.0004997501249375312,0.3146496198636053,0.1148036253776435,331,5,0.009928505574111771,1.0009433331539273e-34,4.2985738227224955e-15,0.006496751624187906,conflict_natural_strict
AIPA (full),Naive fusion,Hit@10,1655,0.0018126888217522659,0.8072090729251093,0.8924302713501899,0.8670664667666167,0.005999435049572518,0.0018126888217522563,331,5,0.011239320385340349,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),SASRec,Hit@10,1655,0.07915407854984895,4.098557437541664e-18,1.5726718333171654e-08,0.0004997501249375312,0.2157488111976788,0.07915407854984896,331,5,0.016810184583980127,4.918268925049997e-17,1.8872061999805986e-07,0.006496751624187906,conflict_natural_strict
AIPA (full),STI-only,Hit@10,1655,-0.01933534743202417,0.017027621377110835,0.15558995146435506,0.02448775612193903,-0.058712582973842145,-0.01933534743202417,331,5,0.011075711649440096,0.1611210022394889,1.0,0.2203898050974513,conflict_natural_strict
