target_genre,model,n,seeds,Hit@10_mean,Hit@10_std,NDCG@10_mean,NDCG@10_std
Romance,AIPA w/o counterfactual,166,2,0.06626506024096386,0.0,0.026351209122311366,0.001613048058233972
Romance,AIPA w/o clarification,166,2,0.057228915662650606,0.0030120481927710836,0.026414465069395397,0.0018761125198206163
Romance,AIPA w/o persistence,166,2,0.057228915662650606,0.0030120481927710836,0.026213536673677332,0.0006710087782031762
Romance,AIPA (rule policy),166,2,0.045180722891566265,0.003012048192771087,0.019164712338989393,0.003685723405411479
Romance,AIPA (full),166,2,0.057228915662650606,0.0030120481927710836,0.02628243382360109,0.0007399059281269372
Sci-Fi,LTP-only,178,2,0.11235955056179775,0.011235955056179775,0.07861708475463076,0.009580844596969298
Sci-Fi,STI-only,178,2,0.16853932584269662,0.011235955056179775,0.09924475167176246,0.014012508256289274
Sci-Fi,Naive fusion,178,2,0.19101123595505617,0.02247191011235955,0.11300059055826878,0.015552474891905817
Sci-Fi,Adaptive fusion,178,2,0.18258426966292135,0.0028089887640449507,0.11751903170931838,0.0005334666436584631
Sci-Fi,Sequential (GRU),178,2,0.14606741573033707,0.011235955056179775,0.08990890198261582,0.0023085791723936183
Sci-Fi,Conversation-aware,178,2,0.1657303370786517,0.025280898876404487,0.09568447706677904,0.010374554308773709
Sci-Fi,SASRec,178,2,0.12359550561797752,0.011235955056179775,0.08261326124689236,0.01671074440420755
Sci-Fi,KBRD-style,178,2,0.199438202247191,0.019662921348314613,0.11171859799559367,0.0030738871311850116
Sci-Fi,AIPA w/o relationship,178,2,0.17696629213483145,0.014044943820224712,0.11082013976441932,0.0034774222885647424
Sci-Fi,AIPA w/o counterfactual,178,2,0.1797752808988764,0.016853932584269662,0.11238773811218554,0.0058935290078167835
Sci-Fi,AIPA w/o clarification,178,2,0.1853932584269663,0.016853932584269662,0.11823752660234221,0.007822577211818948
Sci-Fi,AIPA w/o persistence,178,2,0.1853932584269663,0.011235955056179775,0.12153983193243231,0.00797752018676573
Sci-Fi,AIPA (rule policy),178,2,0.17134831460674158,0.014044943820224726,0.10309256154891619,0.009479303858223563
Sci-Fi,AIPA (full),178,2,0.1853932584269663,0.011235955056179775,0.12153983193243231,0.00797752018676573
Thriller,LTP-only,250,2,0.022,0.018000000000000002,0.008905743879587286,0.007749484574315735
Thriller,STI-only,250,2,0.068,0.012,0.03251298006823035,0.0006501359571615822
Thriller,Naive fusion,250,2,0.058,0.010000000000000002,0.027815097708934977,0.0050183301422883145
Thriller,Adaptive fusion,250,2,0.056,0.0,0.02834556108658188,0.0026499291809523977
Thriller,Sequential (GRU),250,2,0.041999999999999996,0.0019999999999999983,0.014464123208721081,0.000925835942696223
Thriller,Conversation-aware,250,2,0.048,0.008,0.02023302854283897,0.0017612572895905239
Thriller,SASRec,250,2,0.028,0.012,0.011084729581529652,0.004540988978335485
Thriller,KBRD-style,250,2,0.07400000000000001,0.005999999999999998,0.03480694035436704,0.004123459259569612
Thriller,AIPA w/o relationship,250,2,0.056,0.0,0.026293790957590997,0.00020302888620344836
