model,seed,epoch,rec,rel,act,valid_hit@10,n_self_train_relabelled
AIPA w/o counterfactual,7,7,5.840854340066582,0.4646626719957745,0.11595548440777027,0.15108726348489127,493
AIPA w/o clarification,7,1,7.742054331610661,0.7819414189279239,0.2860624952737652,0.1293419937870658,0
AIPA w/o clarification,7,2,6.73710841741873,0.5683323833784881,0.1715284561239367,0.14939282688506073,0
AIPA w/o clarification,7,3,6.468824559785156,0.5193336994725292,0.12405033901035244,0.15447613668455237,0
AIPA w/o clarification,7,4,6.2856072457982215,0.497483567098693,0.10347932248934326,0.158429822084157,254
AIPA w/o clarification,7,5,6.130639001209565,0.48232217636322494,0.08973366297055055,0.15475854278452414,310
AIPA w/o clarification,7,6,5.982754981676488,0.47093586595509057,0.0815167278002895,0.15419373058458063,314
AIPA w/o clarification,7,7,5.826151321447746,0.4594097798058679,0.0719508120736441,0.15730019768426998,490
AIPA w/o persistence,7,1,7.746446421440965,0.7778445150156463,0.42204656784906724,0.12905958768709405,0
AIPA w/o persistence,7,2,6.741237872690783,0.5665269755920884,0.21570154215636606,0.15193448178480656,0
AIPA w/o persistence,7,3,6.472478279021409,0.5184049223611099,0.16950271566074046,0.1550409488844959,0
AIPA w/o persistence,7,4,6.289141097768341,0.49683026091555943,0.14825931524834798,0.15814741598418525,300
AIPA w/o persistence,7,5,6.132987026911905,0.4816340004391323,0.1343307480720738,0.15278170008472183,366
AIPA w/o persistence,7,6,5.986115520152948,0.46979653378117064,0.12414289605422628,0.1516520756848348,323
AIPA w/o persistence,7,7,5.828465848922781,0.4580399746487011,0.11252786000256822,0.15927704038407228,553
AIPA w/o persistence,7,8,5.689523806208802,0.45222953107850694,0.10449706753110613,0.14798079638520192,647
AIPA w/o persistence,7,9,5.529517136003314,0.4527266148637478,0.09899578499667712,0.1403558316859644,1398
AIPA w/o persistence,7,10,5.383150150236602,0.441985136261958,0.09105517662762347,0.14374470488562552,828
AIPA (rule policy),7,1,7.757459095714246,0.7764054529046274,0.0,0.13047161818695283,0
AIPA (rule policy),7,2,6.7348501121642625,0.5713924774119579,0.0,0.14967523298503246,0
AIPA (rule policy),7,3,6.464299761802641,0.5277976962838918,0.0,0.16323072578367692,0
AIPA (rule policy),7,4,6.28462195697008,0.5041607013696174,0.0,0.1640779440835922,257
AIPA (rule policy),7,5,6.1208777344026775,0.4896874625276298,0.0,0.1578650098842135,413
AIPA (rule policy),7,6,5.967767959024637,0.47865238372520613,0.0,0.1522168878847783,338
AIPA (rule policy),7,7,5.815628431903674,0.46823459683877544,0.0,0.1522168878847783,373
AIPA (full),7,1,7.746446421440965,0.7778445150156463,0.42204656784906724,0.12905958768709405,0
AIPA (full),7,2,6.741237872690783,0.5665269755920884,0.21570154215636606,0.15193448178480656,0
AIPA (full),7,3,6.472478279021409,0.5184049223611099,0.16950271566074046,0.1550409488844959,0
AIPA (full),7,4,6.289141097768341,0.49683026091555943,0.14825931524834798,0.15814741598418525,300
AIPA (full),7,5,6.132987026911905,0.4816340004391323,0.1343307480720738,0.15278170008472183,366
AIPA (full),7,6,5.986115520152948,0.46979653378117064,0.12414289605422628,0.1516520756848348,323
AIPA (full),7,7,5.828465848922781,0.4580399746487011,0.11252786000256822,0.15927704038407228,553
AIPA (full),7,8,5.689523806208802,0.45222953107850694,0.10449706753110613,0.14798079638520192,647
AIPA (full),7,9,5.529517136003314,0.4527266148637478,0.09899578499667712,0.1403558316859644,1398
AIPA (full),7,10,5.383150150236602,0.441985136261958,0.09105517662762347,0.14374470488562552,828
LTP-only,123,1,8.255080773806302,0.0,0.0,0.05817565659418243,0
LTP-only,123,2,7.621527412082964,0.0,0.0,0.06269415419373059,0
LTP-only,123,3,7.485034119891192,0.0,0.0,0.05506918949449308,0
LTP-only,123,4,7.394737886683729,0.0,0.0,0.06269415419373059,0
LTP-only,123,5,7.29924056067357,0.0,0.0,0.058740468794125957,0
STI-only,123,1,7.824899939204609,0.0,0.0,0.14205026828579498,0
STI-only,123,2,6.769393153289256,0.0,0.0,0.15814741598418525,0
STI-only,123,3,6.497660607942302,0.0,0.0,0.16238350748376165,0
STI-only,123,4,6.332724464711167,0.0,0.0,0.1640779440835922,0
STI-only,123,5,6.188968796703279,0.0,0.0,0.1640779440835922,0
STI-only,123,6,6.070217016924069,0.0,0.0,0.15871222818412878,0
STI-only,123,7,5.9402013475955755,0.0,0.0,0.16068907088393108,0
Naive fusion,123,1,7.81896884877773,0.0,0.0,0.13922620728607737,0
Naive fusion,123,2,6.735209319349956,0.0,0.0,0.1550409488844959,0
Naive fusion,123,3,6.452298063254876,0.0,0.0,0.15955944648404405,0
Naive fusion,123,4,6.257498729643651,0.0,0.0,0.16153628918384638,0
Naive fusion,123,5,6.079465177019548,0.0,0.0,0.15475854278452414,0
Naive fusion,123,6,5.916022518265937,0.0,0.0,0.14713357808528665,0
Naive fusion,123,7,5.747793172305155,0.0,0.0,0.14911042078508896,0
Adaptive fusion,123,1,7.817500444476408,0.0,0.0,0.13866139508613387,0
Adaptive fusion,123,2,6.731876686183484,0.0,0.0,0.16181869528381812,0
Adaptive fusion,123,3,6.4413032131217305,0.0,0.0,0.15871222818412878,0
Adaptive fusion,123,4,6.252000041455705,0.0,0.0,0.16125388308387462,0
Adaptive fusion,123,5,6.088060509966875,0.0,0.0,0.15899463428410054,0
Sequential (GRU),123,1,8.147171239475655,0.0,0.0,0.08330979949166901,0
Sequential (GRU),123,2,7.328371181549576,0.0,0.0,0.09997175939000283,0
Sequential (GRU),123,3,7.10828227087703,0.0,0.0,0.09997175939000283,0
Sequential (GRU),123,4,6.957472197091512,0.0,0.0,0.10166619598983338,0
Sequential (GRU),123,5,6.813190450276088,0.0,0.0,0.10025416548997458,0
Sequential (GRU),123,6,6.652845951952522,0.0,0.0,0.09488844959051115,0
Sequential (GRU),123,7,6.4874065957055045,0.0,0.0,0.09488844959051115,0
Conversation-aware,123,1,8.049337382870311,0.0,0.0,0.11352725218864727,0
Conversation-aware,123,2,6.915544985742297,0.0,0.0,0.1417678621858232,0
Conversation-aware,123,3,6.605951882241278,0.0,0.0,0.1564529793843547,0
Conversation-aware,123,4,6.425753247339367,0.0,0.0,0.16068907088393108,0
Conversation-aware,123,5,6.273510198487386,0.0,0.0,0.1570177915842982,0
Conversation-aware,123,6,6.146070078610436,0.0,0.0,0.16266591358373342,0
Conversation-aware,123,7,6.012339128691757,0.0,0.0,0.16153628918384638,0
Conversation-aware,123,8,5.892549440186728,0.0,0.0,0.15673538548432647,0
Conversation-aware,123,9,5.767216974447229,0.0,0.0,0.15447613668455237,0
SASRec,123,1,12.99726108074434,0.0,0.0,0.05506918949449308,0
SASRec,123,2,8.227963001748808,0.0,0.0,0.059305280994069474,0
SASRec,123,3,7.826063993834746,0.0,0.0,0.0737079920926292,0
SASRec,123,4,7.6248724287943395,0.0,0.0,0.08472182999152782,0
SASRec,123,5,7.525559889366217,0.0,0.0,0.08528664219147133,0
SASRec,123,6,7.445024653318579,0.0,0.0,0.08613386049138662,0
SASRec,123,7,7.379885289330508,0.0,0.0,0.08952273369104773,0
SASRec,123,8,7.319277717574404,0.0,0.0,0.08669867269133014,0
SASRec,123,9,7.259021485701554,0.0,0.0,0.09206438859079356,0
SASRec,123,10,7.196238573236876,0.0,0.0,0.09262920079073708,0
SASRec,123,11,7.136426831152778,0.0,0.0,0.09262920079073708,0
SASRec,123,12,7.075908005795116,0.0,0.0,0.09545326179045467,0
SASRec,123,13,7.011737278413221,0.0,0.0,0.09658288619034171,0
SASRec,123,14,6.945841155458007,0.0,0.0,0.09488844959051115,0
SASRec,123,15,6.880051807671647,0.0,0.0,0.10194860208980513,0
SASRec,123,16,6.816146365358265,0.0,0.0,0.0931940129906806,0
SASRec,123,17,6.742761897422795,0.0,0.0,0.1008189776899181,0
SASRec,123,18,6.675652108966724,0.0,0.0,0.10053657158994635,0
KBRD-style,123,1,8.02710368734564,0.0,0.0,0.134990115786501,0
KBRD-style,123,2,6.742735838762731,0.0,0.0,0.15419373058458063,0
KBRD-style,123,3,6.454862142072674,0.0,0.0,0.16238350748376165,0
