treatment,control,metric,n,mean_diff,t_p,wilcoxon_p,perm_p,cohen_d,cliffs_delta,n_samples,n_seeds,seed_std_diff,t_p_holm,wilcoxon_p_holm,perm_p_holm,subset
AIPA (full),LTP-only,NDCG@10,124,0.04521398981158748,0.004984147029779846,0.07029333652045364,0.0014992503748125937,0.25680234774913996,0.07290582726326743,62,2,0.018204715821242178,0.064793911387138,0.9138133747658973,0.019490254872563718,conflict_natural_strict
AIPA (full),Naive fusion,NDCG@10,124,0.013372270270153714,0.15339565493962232,0.6118267234893449,0.1679160419790105,0.12900249392880228,0.023608220603537983,62,2,0.010555159251718006,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),SASRec,NDCG@10,124,0.04039670574110313,0.009708194180765661,0.13825940872444595,0.005997001499250375,0.23591712929369443,0.0721904266389178,62,2,0.006892967633662022,0.11649833016918792,1.0,0.07196401799100449,conflict_natural_strict
AIPA (full),STI-only,NDCG@10,124,0.022608868608384156,0.07434794386772355,0.40563853418690377,0.0734632683658171,0.16162429381942842,0.025559313215400628,62,2,0.004793873397035502,0.5947835509417884,1.0,0.5877061469265368,conflict_natural_strict
AIPA (full),Sequential (GRU),NDCG@10,124,0.036283081532464304,0.03545535001860506,0.2503773443280246,0.03798100949525238,0.19096996506808378,0.0500780437044745,62,2,0.01533390549169803,0.39000885020465564,1.0,0.4177911044477761,conflict_natural_strict
AIPA (full),AIPA (rule policy),Hit@10,512,0.001953125,0.8576669060085433,0.9336097174521262,1.0,0.007930002491318528,0.001953125,256,2,0.005859375,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),AIPA w/o clarification,Hit@10,512,0.001953125,0.5642110913581972,0.9300440394718832,1.0,0.02549889024857346,0.001953125,256,2,0.005859375,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),AIPA w/o counterfactual,Hit@10,512,-0.015625,0.14429677045004782,0.5043601551115652,0.2028985507246377,-0.06462142328423551,-0.015625,256,2,0.01171875,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),AIPA w/o persistence,Hit@10,512,0.0,,,,,,256,2,0.0,,,,conflict_natural_broad
AIPA (full),AIPA w/o relationship,Hit@10,512,-0.01953125,0.06784361425819241,0.4039675259932163,0.08595702148925537,-0.08087200358160265,-0.01953125,256,2,0.01171875,0.5427489140655393,1.0,0.6876561719140429,conflict_natural_broad
AIPA (full),Adaptive fusion,Hit@10,512,0.0,1.0,1.0,1.0,0.0,0.0,256,2,0.00390625,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),Conversation-aware,Hit@10,512,0.02734375,0.019483724328684636,0.24777251734101569,0.03548225887056472,0.10357112973861157,0.02734375,256,2,0.00390625,0.19483724328684637,1.0,0.3548225887056472,conflict_natural_broad
AIPA (full),KBRD-style,Hit@10,512,-0.025390625,0.03244880557233811,0.2840357021090921,0.038980509745127435,-0.09478265048110704,-0.025390625,256,2,0.005859375,0.292039250151043,1.0,0.3548225887056472,conflict_natural_broad
AIPA (full),LTP-only,Hit@10,512,0.0625,1.0977693384345273e-06,0.009203532960388162,0.0004997501249375312,0.2180046826714203,0.0625,256,2,0.01171875,1.4271001399648856e-05,0.1196459284850461,0.006496751624187906,conflict_natural_broad
AIPA (full),Naive fusion,Hit@10,512,0.013671875,0.23709036402149214,0.5626375936550467,0.29985007496251875,0.05231172992494049,0.013671875,256,2,0.013671875,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),SASRec,Hit@10,512,0.046875,0.0005022437409156767,0.05242806427629605,0.0004997501249375312,0.1547679714928124,0.046875,256,2,0.00390625,0.005524681150072443,0.6291367713155527,0.006496751624187906,conflict_natural_broad
AIPA (full),STI-only,Hit@10,512,-0.001953125,0.8729634251966162,0.9345566522147072,1.0,-0.007069994250411836,-0.001953125,256,2,0.001953125,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),Sequential (GRU),Hit@10,512,0.044921875,0.0003066153672633733,0.059851030636885336,0.0009995002498750624,0.16062703893569016,0.044921875,256,2,0.013671875,0.0036793844071604798,0.6583613370057387,0.010994502748625687,conflict_natural_broad
AIPA (full),AIPA (rule policy),NDCG@10,512,0.0035448542581434303,0.5874704576390842,0.38704396699585286,0.5967016491754122,0.023990763226268332,0.00266265869140625,256,2,0.00903147178405897,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),AIPA w/o clarification,NDCG@10,512,0.003910007727950247,0.048156768520908326,0.39508398646509335,0.04297851074462768,0.08753694284872579,0.00231170654296875,256,2,0.00022275591925445494,0.43341091668817494,1.0,0.38680659670164913,conflict_natural_broad
AIPA (full),AIPA w/o counterfactual,NDCG@10,512,-0.0036788749638848447,0.5490408562074013,0.9823350180176922,0.5552223888055972,-0.02649867752251639,-0.014984130859375,256,2,0.008316325750134718,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),AIPA w/o persistence,NDCG@10,512,0.0,,,,,,256,2,0.0,,,,conflict_natural_broad
AIPA (full),AIPA w/o relationship,NDCG@10,512,-0.005891847918256032,0.3360571951004598,0.854707926006658,0.3333333333333333,-0.0425542124530185,-0.018829345703125,256,2,0.006668198698125906,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),Adaptive fusion,NDCG@10,512,0.004175461791692027,0.48811157363390445,0.8513718828112782,0.4987506246876562,0.0306627166785418,0.0006866455078125,256,2,0.004822308234606803,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),Conversation-aware,NDCG@10,512,0.02082044883645271,0.001620782251131244,0.045129038469982334,0.001999000499750125,0.1400552338626678,0.02832794189453125,256,2,0.00318733224620292,0.01620782251131244,0.45129038469982335,0.019990004997501247,conflict_natural_broad
AIPA (full),KBRD-style,NDCG@10,512,-0.0059454562220222565,0.4107455901570468,0.5897594722345416,0.40679660169915044,-0.0363831864955171,-0.024211883544921875,256,2,0.0063142405775658775,1.0,1.0,1.0,conflict_natural_broad
