model,seed,subset,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,F1_Complement,F1_Consistent,F1_Conflict,F1_Override,F1_Uncertain
AIPA w/o relationship,7,all,0.8235871271585558,0.7930848401638927,0.7353732896996263,0.7595298551269384,0.8180080517549486,0.5922270203578038,0.8617268313278447,0.5577464788732395,0.8275862068965517,0.958362738179252
AIPA w/o relationship,42,natural,0.7906976744186046,0.619404093977779,0.618445475120473,0.6163741350748942,0.7905192590810272,0.5289367429340511,0.8380462724935732,0.4291044776119403,0.32967032967032966,0.9561128526645768
AIPA w/o relationship,42,synthetic,0.9727564102564102,0.974945054945055,0.970815565031983,0.9719251501783489,0.9725154626322878,0.948905109489051,0.9723320158102767,0.9383886255924171,1.0,1.0
AIPA w/o relationship,42,all,0.8129905808477237,0.7618957646205887,0.7538625868169851,0.7564153611495714,0.8126549046245926,0.5943181818181819,0.8455428067078552,0.5729585006693441,0.8087774294670846,0.9604798870853917
AIPA w/o relationship,123,natural,0.7947227191413238,0.6291793808036883,0.5838203845577616,0.5987184818895511,0.7844926836876329,0.5265454545454545,0.8425780372782394,0.34725274725274724,0.3291139240506329,0.9481022463206816
AIPA w/o relationship,123,synthetic,0.967948717948718,0.9702762923351159,0.9669869636778514,0.9677893102457394,0.9680591070509129,0.9398496240601504,0.9498069498069498,0.958139534883721,0.9911504424778761,1.0
AIPA w/o relationship,123,all,0.8159340659340659,0.7832423014151282,0.7327062874795189,0.7516361028456464,0.8096624199442386,0.5935405240706886,0.8484719864176571,0.5432835820895522,0.819672131147541,0.9532122905027933
AIPA w/o relationship,2024,natural,0.7985241502683363,0.6408818237885348,0.6814538164396955,0.6535258414238367,0.7988513436874175,0.534446764091858,0.8504563538497543,0.43103448275862066,0.49523809523809526,0.9564535111808552
AIPA w/o relationship,2024,synthetic,0.9807692307692307,0.9809808917883714,0.9803618187259193,0.9804580514341849,0.9807631099247575,0.9660377358490566,0.9723320158102767,0.9683257918552036,0.9955947136563876,1.0
AIPA w/o relationship,2024,all,0.820839874411303,0.762324948889957,0.7753922212778342,0.7672661555472584,0.8204119003329201,0.6016451233842538,0.8572691117984975,0.5792759051186017,0.8373493975903614,0.9607912398445779
AIPA w/o relationship,31337,natural,0.7790697674418605,0.6158040234759257,0.6716643953248674,0.6325607956504952,0.7845533358912916,0.4850255661066472,0.8361252731245448,0.4790874524714829,0.41237113402061853,0.9501945525291828
AIPA w/o relationship,31337,synthetic,0.9807692307692307,0.9804040841048713,0.9809168443496802,0.9805662337662338,0.9806748251748252,0.9545454545454546,0.984,0.9642857142857143,1.0,1.0
AIPA w/o relationship,31337,all,0.8037676609105181,0.7410734177433461,0.7803423568913779,0.754325872223567,0.8064862129128587,0.5609308022045315,0.8445868619821469,0.5863770977295163,0.8246153846153846,0.9551192145862553
