model,seed,subset,STI_driven_rate,LTP_driven_rate,Jointly_driven_rate,Neither_driven_rate,mean_abs_delta_LTP,mean_abs_delta_STI,mean_topk_overlap_noLTP,mean_topk_overlap_noSTI,n
AIPA w/o persistence,123,synthetic,0.5865384615384616,0.004807692307692308,0.40865384615384615,0.0,0.5550997853279114,0.8792998194694519,0.4449002146720886,0.1207001730799675,624
AIPA w/o persistence,123,all,0.5627943485086342,0.002354788069073783,0.434850863422292,0.0,0.5288838148117065,0.8718780875205994,0.47111618518829346,0.12812192738056183,5096
AIPA w/o persistence,2024,natural,0.6160554561717353,0.0006708407871198568,0.3832737030411449,0.0,0.5445266366004944,0.9243773221969604,0.4554733633995056,0.07562259584665298,4472
AIPA w/o persistence,2024,synthetic,0.6041666666666666,0.0,0.3958333333333333,0.0,0.5861738920211792,0.9291179180145264,0.4138260781764984,0.07088209688663483,624
AIPA w/o persistence,2024,all,0.6145996860282574,0.0005886970172684458,0.3848116169544741,0.0,0.5496262907981873,0.9249578714370728,0.45037367939949036,0.07504213601350784,5096
AIPA w/o persistence,31337,natural,0.6245527728085868,0.009615384615384616,0.36583184257602863,0.0,0.474059522151947,0.8400868773460388,0.525940477848053,0.15991312265396118,4472
AIPA w/o persistence,31337,synthetic,0.6394230769230769,0.022435897435897436,0.33814102564102566,0.0,0.5067091584205627,0.8436650037765503,0.49329084157943726,0.1563350111246109,624
AIPA w/o persistence,31337,all,0.6263736263736264,0.011185243328100471,0.36244113029827313,0.0,0.4780574440956116,0.8405250310897827,0.5219425559043884,0.15947498381137848,5096
AIPA w/o relationship,7,natural,0.6073345259391771,0.0017889087656529517,0.39087656529516995,0.0,0.5167858600616455,0.8892548084259033,0.4832141399383545,0.11074519157409668,4472
AIPA w/o relationship,7,synthetic,0.6282051282051282,0.0016025641025641025,0.3701923076923077,0.0,0.5479106307029724,0.904024064540863,0.4520893692970276,0.09597591310739517,624
AIPA w/o relationship,7,all,0.6098901098901099,0.0017660910518053376,0.38834379905808475,0.0,0.5205970406532288,0.8910632729530334,0.47940289974212646,0.10893671214580536,5096
AIPA w/o relationship,42,natural,0.6533989266547406,0.0022361359570661895,0.3443649373881932,0.0,0.5067096948623657,0.901889979839325,0.4932902753353119,0.09811007231473923,4472
AIPA w/o relationship,42,synthetic,0.6778846153846154,0.0016025641025641025,0.32051282051282054,0.0,0.5274773240089417,0.9066867232322693,0.4725227355957031,0.0933133140206337,624
AIPA w/o relationship,42,all,0.6563971742543171,0.0021585557299843012,0.3414442700156986,0.0,0.5092526078224182,0.9024773240089417,0.4907473623752594,0.09752271324396133,5096
AIPA w/o relationship,123,natural,0.5914579606440071,0.0011180679785330948,0.4074239713774597,0.0,0.5377127528190613,0.9004764556884766,0.46228715777397156,0.09952355921268463,4472
AIPA w/o relationship,123,synthetic,0.6009615384615384,0.009615384615384616,0.3894230769230769,0.0,0.5621579885482788,0.9026275873184204,0.4378420114517212,0.09737240523099899,624
AIPA w/o relationship,123,all,0.5926216640502355,0.0021585557299843012,0.4052197802197802,0.0,0.5407060384750366,0.9007397890090942,0.4592939615249634,0.09926015138626099,5096
AIPA w/o relationship,2024,natural,0.6500447227191414,0.0008944543828264759,0.3490608228980322,0.0,0.5197029113769531,0.9108896255493164,0.48029711842536926,0.08911033719778061,4472
AIPA w/o relationship,2024,synthetic,0.6169871794871795,0.0,0.38301282051282054,0.0,0.5625087022781372,0.9090164303779602,0.4374912977218628,0.09098357707262039,624
AIPA w/o relationship,2024,all,0.6459968602825745,0.0007849293563579278,0.3532182103610675,0.0,0.5249444246292114,0.9106602668762207,0.47505560517311096,0.0893397182226181,5096
AIPA w/o relationship,31337,natural,0.7003577817531306,0.0026833631484794273,0.29695885509839,0.0,0.4618372917175293,0.8759788274765015,0.5381627082824707,0.12402114272117615,4472
AIPA w/o relationship,31337,synthetic,0.7083333333333334,0.003205128205128205,0.28846153846153844,0.0,0.49009302258491516,0.8861897587776184,0.5099070072174072,0.11381017416715622,624
AIPA w/o relationship,31337,all,0.7013343799058085,0.0027472527472527475,0.29591836734693877,0.0,0.4652971625328064,0.8772291541099548,0.5347028374671936,0.12277080118656158,5096
